MSG_QUEST.PTP	0	0	<EMPTY>	つ入手せよ。	；个。
MSG_QUEST.PTP	1	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	2	0	<EMPTY>	人工島計画文書を入手せよ。	；获取人工岛计划文件。
MSG_QUEST.PTP	3	0	<EMPTY>	が飲んでみたい。	；，我想喝喝看。
MSG_QUEST.PTP	4	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	5	0	<EMPTY>	人工島計画文書を入手せよ·その2	；获取人工岛计划文件·2
MSG_QUEST.PTP	6	0	<EMPTY>	ディアを持つジャックフロストを創造せよ。	；创造持有迪亚的杰克霜精。
MSG_QUEST.PTP	7	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	8	0	<EMPTY>	タルカジャを持つヴァルキリ‒を創造せよ。	；创造持有塔尔卡加的女武神。
MSG_QUEST.PTP	9	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	10	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	11	0	<EMPTY>	人工島計画文書を入手せよ·その3	；获取人工岛计划文件·3
MSG_QUEST.PTP	12	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	13	0	<EMPTY>	不気味な巨大人形を入手せよ。	；获得不祥的巨大人偶。
MSG_QUEST.PTP	14	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	15	0	<EMPTY>	レベル17以上のオベロンを創造せよ。	；创造17级以上的奥伯隆。
MSG_QUEST.PTP	16	0	<EMPTY>	劇薬を持ってきて。	；带来烈性药。
MSG_QUEST.PTP	17	0	<EMPTY>	学校にちなんだ音楽CDが欲しい。	；想要和学校有关的音乐CD。
MSG_QUEST.PTP	18	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	19	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
MSG_QUEST.PTP	20	0	<EMPTY>	人工島計画文書を入手せよ·その4	；获取人工岛计划文件·4
MSG_QUEST.PTP	21	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；，获取{F2 03 02 01}个吧。
